constraint,connect
"spring_outer_diameter-spring_wire_diameter>0, spring_outer_diameter>0",spring_outer_diameter
"spring_outer_diameter-spring_wire_diameter>0, spring_wire_diameter>0",spring_wire_diameter
free_length_of_spring > 0,free_length_of_spring
youngs_modulus > 0,youngs_modulus
poisson_ratio -1 < 0,poisson_ratio
number\_ of\_ active\_ windings \epsilon W,number_of_active_windings
t > 0,time
gravitational_constant - constant = 0,gravitational_constant
planet_mass > 0,planet_mass
radial_distance_from_planet > 0,radial_distance_from_planet
orbital_radius > radius_of_planet,orbital_radius
escape_velocity_orbit - velocity_circular_orbit > 0,escape_velocity_orbit
object_mass > 0,acceleration_due_to_gravity
radius > 0,radius
mechanical_advantage > 0,mechanical_advantage
radius_wheel > 0,radius_wheel
radius_axle > 0,radius_axle
mass > 0,mass
length_of_column > 0,length_of_column
planar_area_moment_of_inertia > 0,planar_area_moment_of_inertia
youngs_modulus > 0,youngs_modulus
original_length > 0,original_length
original_width > 0,original_width
radius_of_disc > 0,radius_of_disc
density_fluid > 0,density_fluid
spring_outer_diameter-spring_wire_diameter>0,spring_properties
\vec{angular_acceleration_vec}-constant = 0,circular_motion
acceleration_due_to_gravity - constant = 0,work_done_by_gravity
m-constant = 0,newtons_second_law
